299,"[[36.90607815310614, 0.12632695680351044], [36.90620151564583, 0.12631997977827142], [36.90620211744662, 0.1260605789330897], [36.906078754909245, 0.12606755597893896]]"
298,"[[36.90620151564583, 0.12631997977827142], [36.90628954066086, 0.12631500160510042], [36.90631642585946, 0.1262864805314219], [36.906317301206414, 0.12605406413258594], [36.90620211744662, 0.1260605789330897]]"
297,"[[36.906397259987116, 0.12628179109024734], [36.906424058232524, 0.12630739350223896], [36.90652639501733, 0.12630160458828107], [36.90652699771007, 0.1260422036889003], [36.90639812724066, 0.12604949221459888]]"
296,"[[36.90652639501733, 0.12630160458828107], [36.90664975759219, 0.12629462755685594], [36.906650360282605, 0.12603522663686928], [36.90652699771007, 0.1260422036889003]]"
295,"[[36.90664975759219, 0.12629462755685594], [36.90677312107481, 0.12628765052380153], [36.9067737228649, 0.12602824867901433], [36.906650360282605, 0.12603522663686928]]"
294,"[[36.90677312107481, 0.12628765052380153], [36.90689648366902, 0.1262806734889719], [36.90689708635487, 0.12602127162365406], [36.9067737228649, 0.12602824867901433]]"
293,"[[36.90689648366902, 0.1262806734889719], [36.90701984627299, 0.12627369554831722], [36.90702044895644, 0.12601429456652014], [36.90689708635487, 0.12602127162365406]]"
292,"[[36.90701984627299, 0.12627369554831722], [36.90714320888656, 0.1262667185100835], [36.90714381156768, 0.12600731750768543], [36.90702044895644, 0.12601429456652014]]"
291,"[[36.90714320888656, 0.1262667185100835], [36.90726657240788, 0.12625974147022084], [36.907267174188675, 0.12600033954302695], [36.90714381156768, 0.12600731750768543]]"
290,"[[36.90726657240788, 0.12625974147022084], [36.90738993504087, 0.12625276352446027], [36.90739053771735, 0.12599336248086376], [36.907267174188675, 0.12600033954302695]]"
289,"[[36.90738993504087, 0.12625276352446027], [36.90751329768346, 0.12624578648112111], [36.907513900357614, 0.1259863854169274], [36.90739053771735, 0.12599336248086376]]"
288,"[[36.90751329768346, 0.12624578648112111], [36.90763657501836, 0.12623881394976785], [36.90763726839607, 0.12597940744760386], [36.907513900357614, 0.1259863854169274]]"
287,"[[36.90763657501836, 0.12623881394976785], [36.9076769852599, 0.1262772786412718], [36.907745423280076, 0.12627340732001918], [36.9077469641074, 0.12597320320230193], [36.90763726839607, 0.12597940744760386]]"
286,"[[36.90763726839607, 0.12597940744760386], [36.9077469641074, 0.12597320320230193], [36.90774850487762, 0.12567299908392462], [36.90767837847421, 0.12567696522807], [36.907637961731155, 0.12572000094516014]]"
285,"[[36.907513900357614, 0.1259863854169274], [36.90763726839607, 0.12597940744760386], [36.907637961731155, 0.12572000094516014], [36.90751450209114, 0.12572698344828798]]"
284,"[[36.90739053771735, 0.12599336248086376], [36.907513900357614, 0.1259863854169274], [36.90751450209114, 0.12572698344828798], [36.90739113945312, 0.12573396143694499]]"
283,"[[36.907267174188675, 0.12600033954302695], [36.90739053771735, 0.12599336248086376], [36.90739113945312, 0.12573396143694499], [36.90726777682484, 0.1257409385197795]]"
282,"[[36.90714381156768, 0.12600731750768543], [36.907267174188675, 0.12600033954302695], [36.90726777682484, 0.1257409385197795], [36.907144414206236, 0.12574791560091472]]"
281,"[[36.90702044895644, 0.12601429456652014], [36.90714381156768, 0.12600731750768543], [36.907144414206236, 0.12574791560091472], [36.907021050699164, 0.12575489358440078]]"
280,"[[36.90689708635487, 0.12602127162365406], [36.90702044895644, 0.12601429456652014], [36.907021050699164, 0.12575489358440078], [36.90689768809991, 0.12576187066213687]]"
